bike_number,rider_name,class,season,home_country,motorcycle,team,races_participated,wins,podium,pole,fastest_lap,points,placed,world_championships
88,Miguel Oliveira,Moto3,2013,Portugal,Mahindra,Mahindra Racing,17,0,1,1,3,150,6,0
88,Miguel Oliveira,Moto3,2014,Portugal,Mahindra,Mahindra Racing,17,0,1,0,0,110,10,0
88,Miguel Oliveira,Moto3,2015,Portugal,KTM,Red Bull KTM Ajo,17,6,9,1,3,254,2,0
88,Miguel Oliveira,Moto2,2016,Portugal,Kalex,Leopard Racing,14,0,0,0,0,36,21,0
88,Miguel Oliveira,Moto2,2017,Portugal,KTM,Red Bull KTM Ajo,18,3,9,2,3,241,3,0
88,Miguel Oliveira,Moto2,2018,Portugal,KTM,Red Bull KTM Ajo,18,3,12,0,1,297,2,0
88,Miguel Oliveira,MotoGP,2019,Portugal,KTM,Red Bull KTM Tech3,16,0,0,0,0,33,17,0
88,Miguel Oliveira,MotoGP,2020,Portugal,KTM,Red Bull KTM Tech3,14,2,2,1,1,125,9,0
88,Miguel Oliveira,MotoGP,2021,Portugal,KTM,Red Bull KTM Factory Racing,18,1,3,0,1,94,14,0
88,Miguel Oliveira,MotoGP,2022,Portugal,KTM,Red Bull KTM Factory Racing,20,2,2,0,0,149,10,0
88,Miguel Oliveira,MotoGP,2023,Portugal,Aprilia,CryptoData RNF MotoGP Team,16,0,0,0,0,76,16,0
88,Miguel Oliveira,MotoGP,2024,Portugal,Aprilia,Trackhouse Racing,15,0,0,0,0,75,15,0
88,Miguel Oliveira,MotoGP,2025,Portugal,Yamaha,Prima Pramac Yamaha MotoGP,0,0,0,0,0,0,0,0
93,Marc Marquez,125cc,2008,Spain,KTM 125 FRR,Repsol KTM 125cc,13,0,1,0,0,63,13,0
93,Marc Marquez,125cc,2009,Spain,KTM 125 FRR,Red Bull KTM Repsol,16,0,1,2,1,94,8,0
93,Marc Marquez,125cc,2010,Spain,Derbi RSA 125,Red Bull Ajo Motorsport,17,10,12,12,8,310,1,1
93,Marc Marquez,Moto2,2011,Spain,Suter MMXI,Team CatalunyaCaixa Repsol,15,7,11,7,2,251,2,0
93,Marc Marquez,Moto2,2012,Spain,Suter MMX2,Team CatalunyaCaixa Repsol,17,9,14,7,5,328,1,1
93,Marc Marquez,MotoGP,2013,Spain,Honda RC213V,Repsol Honda Team,18,6,16,9,11,334,1,1
93,Marc Marquez,MotoGP,2014,Spain,Honda RC213V,Repsol Honda Team,18,13,14,13,12,362,1,1
93,Marc Marquez,MotoGP,2015,Spain,Honda RC213V,Repsol Honda Team,18,5,9,8,7,242,3,0
93,Marc Marquez,MotoGP,2016,Spain,Honda RC213V,Repsol Honda Team,18,5,12,7,4,298,1,1
93,Marc Marquez,MotoGP,2017,Spain,Honda RC213V,Repsol Honda Team,18,6,12,8,3,298,1,1
93,Marc Marquez,MotoGP,2018,Spain,Honda RC213V,Repsol Honda Team,18,9,14,7,7,321,1,1
93,Marc Marquez,MotoGP,2019,Spain,Honda RC213V,Repsol Honda Team,19,12,18,10,12,420,1,1
93,Marc Marquez,MotoGP,2020,Spain,Honda RC213V,Repsol Honda Team,1,0,0,0,1,0,0,0
93,Marc Marquez,MotoGP,2021,Spain,Honda RC213V,Repsol Honda Team,14,3,4,0,2,142,7,0
93,Marc Marquez,MotoGP,2022,Spain,Honda RC213V,Repsol Honda Team,12,0,1,1,0,113,13,0
93,Marc Marquez,MotoGP,2023,Spain,Honda RC213V,Repsol Honda Team,15,0,1,1,0,96,14,0
93,Marc Marquez,MotoGP,2024,Spain,Ducati Desmosedici GP23,Gresini Racing MotoGP,20,3,10,2,4,392,3,0
93,Marc Marquez,MotoGP,2025,Spain,Ducati Desmosedici GP25,Ducati Lenovo Team,1,1,1,1,1,37,1,0
